permission,intro_year,restrict_year,deprecate_year,announced_restriction_year,announced_deprecation_year
ACCESS_BACKGROUND_LOCATION,2020,2020,,,
ACCESS_COARSE_LOCATION,2008,2015,,2014,
ACCESS_FINE_LOCATION,2008,2015,,2014,
ACCESS_NETWORK_STATE,2008,,,,
ACCESS_WIFI_STATE,2008,,,2026,
ACCOUNT_MANAGER,2008,,,,
ACTIVITY_RECOGNITION,2019,2019,,,
ADD_VOICEMAIL,2011,,,,
ANSWER_PHONE_CALLS,2017,,,,
BATTERY_STATS,2008,,,,
BIND_ACCESSIBILITY_SERVICE,2009,,,,
BIND_DEVICE_ADMIN,2008,,,,
BIND_INPUT_METHOD,2008,,,,
BIND_NOTIFICATION_LISTENER_SERVICE,2012,,,,
BLUETOOTH,2008,,,,
BLUETOOTH_ADMIN,2008,,,,
CALL_PHONE,2008,2015,,2014,
CAMERA,2008,2015,,2014,
CHANGE_NETWORK_STATE,2008,,,2026,
CHANGE_WIFI_STATE,2008,,,2026,
DELETE_PACKAGES,2008,,,,
DISABLE_KEYGUARD,2008,,,,
FOREGROUND_SERVICE,2018,2019,,,
GET_ACCOUNTS,2008,2015,,2014,
GET_TASKS,2008,,2014,,
INSTALL_PACKAGES,2008,,,,
INSTALL_SHORTCUT,2008,,,,
INTERNET,2008,,,2026,
KILL_BACKGROUND_PROCESSES,2008,,,,
MANAGE_DOCUMENTS,2013,,,,
MANAGE_OWN_CALLS,2017,,,,
MODIFY_AUDIO_SETTINGS,2008,,,,
MODIFY_PHONE_STATE,2008,,,,
NFC,2010,,,,
PACKAGE_USAGE_STATS,2014,,,,
PROCESS_OUTGOING_CALLS,2008,2015,2019,2014,
QUERY_ALL_PACKAGES,2020,,,,
READ_CALENDAR,2008,2015,,2014,
READ_CALL_LOG,2009,2015,,2014,
READ_CONTACTS,2008,2015,,2014,
READ_EXTERNAL_STORAGE,2008,2016,,2019,
READ_LOGS,2008,2012,,,
READ_PHONE_NUMBERS,2017,2017,,,
READ_PHONE_STATE,2008,2015,,2014,
READ_SMS,2008,2015,,2014,
RECEIVE_BOOT_COMPLETED,2008,,,,
RECEIVE_MMS,2008,2015,,2014,
RECEIVE_SMS,2008,2015,,2014,
RECEIVE_WAP_PUSH,2008,2015,,2014,
RECORD_AUDIO,2008,2015,,2014,
REQUEST_DELETE_PACKAGES,2017,,,,
REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,2015,,,,
REQUEST_INSTALL_PACKAGES,2017,,,,
RESTART_PACKAGES,2008,,2011,,
SEND_RESPOND_VIA_MESSAGE,2012,,,,
SEND_SMS,2008,2015,,2014,
SET_WALLPAPER,2008,,,,
SYSTEM_ALERT_WINDOW,2008,2015,,2014,
USE_BIOMETRIC,2018,,,,
USE_FINGERPRINT,2015,,2019,,
USE_SIP,2010,,,,
VIBRATE,2008,,,,
WAKE_LOCK,2008,,,,
WRITE_CALENDAR,2008,2015,,2014,
WRITE_CALL_LOG,2009,2015,,2014,
WRITE_CONTACTS,2008,2015,,2014,
WRITE_EXTERNAL_STORAGE,2008,2016,,2019,
WRITE_SETTINGS,2008,2015,,2014,
BODY_SENSORS,2008,2015,,2014,
READ_INPUT_STATE,2008,,2014,,
PERSISTENT_ACTIVITY,2008,,2009,,
BROADCAST_STICKY,2008,,2021,,
CHANGE_COMPONENT_ENABLED_STATE,2008,2015,,,
MOUNT_UNMOUNT_FILESYSTEMS,2008,,,,
BROADCAST_SMS,2010,2017,,,
BIND_WALLPAPER,2010,,,,
CHANGE_CONFIGURATION,2008,2012,,,
BROADCAST_WAP_PUSH,2009,2013,,,
WRITE_APN_SETTINGS,2008,,,,
WRITE_SYNC_SETTINGS,2008,,,,
